id,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
37,Midnights,16,5tWxKWq1DSP1s9WQ5PWuqu,Paris,spotify:track:5tWxKWq1DSP1s9WQ5PWuqu,0.116,0.691,0.498,3.07e-05,0.136,-10.519,0.101,110.963,0.454,66
38,Midnights,17,1SztNGCwEHJEVFx90E5g7D,High Infidelity,spotify:track:1SztNGCwEHJEVFx90E5g7D,0.726,0.564,0.545,0.0,0.0878,-10.17,0.104,176.082,0.766,65
39,Midnights,18,7C0w28EsX0Um2FrZs9gso2,Glitch,spotify:track:7C0w28EsX0Um2FrZs9gso2,0.318,0.677,0.451,0.0,0.11,-9.744,0.19,140.845,0.399,64
40,Midnights,19,4txojlesMFQZGWxwz2EeqB,"Would've, Could've, Should've",spotify:track:4txojlesMFQZGWxwz2EeqB,0.435,0.482,0.837,0.00147,0.123,-6.501,0.12,157.96,0.534,67
41,Midnights,20,10GRRCR5fctuOF4GFmATJI,Dear Reader,spotify:track:10GRRCR5fctuOF4GFmATJI,0.497,0.475,0.386,0.00104,0.119,-12.038,0.0737,107.601,0.162,65
42,Midnights,21,3xYJScVfxByb61dYHTwiby,Hits Different,spotify:track:3xYJScVfxByb61dYHTwiby,0.148,0.672,0.782,4.73e-06,0.296,-6.499,0.0421,106.026,0.239,82
43,Midnights,22,4zmKGsrXjLmljb5fTaBTot,Snow On The Beach (feat. More Lana Del Rey),spotify:track:4zmKGsrXjLmljb5fTaBTot,0.806,0.664,0.401,3.5e-06,0.108,-10.934,0.0344,109.846,0.315,82
78,Red,1,6lzc0Al0zfZOIFsFvBS1ki,State Of Grace,spotify:track:6lzc0Al0zfZOIFsFvBS1ki,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,0.328,72
79,Red,2,4OAuvHryIVv4kMDNSLuPt6,Red,spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,81
80,Red,3,3S7HNKPakdwNEBFIVTL6dZ,Treacherous,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,73
81,Red,4,6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble,spotify:track:6AtZLIzUINvExIUy4QhdjP,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,0.767,80
82,Red,5,3nsfB1vus2qaloUdcBZvDu,All Too Well,spotify:track:3nsfB1vus2qaloUdcBZvDu,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,78
83,Red,6,3yII7UwgLF6K5zW3xad3MP,22,spotify:track:3yII7UwgLF6K5zW3xad3MP,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,79
